title_link,date,author_link,author,title,abstract,school
https://pureportal.coventry.ac.uk/en/publications/modelling-and-optimization-of-a-magnetic-spring-based-electromagn,20 Sep 2021,https://pureportal.coventry.ac.uk/en/persons/chitta-saha,Chitta Saha,Modelling and Optimization of a Magnetic Spring Based Electromagnetic Vibration Energy Harvester,"This paper presents the development of an AA battery size electromagnetic vibration energy harvester with an aim to maximize the output power density. A tube shape and stacked opposing permanent magnets with magnetic spring were used to suit the shape constraint as well as to achieve high flux linkages. An initial prototype of electromagnetic vibration harvester with AA battery size was built and tested on a controllable shaker to obtain its output voltage and power level at different frequencies for fixed accelerations. A single magnet was fixed at the bottom of the harvester to provide levitation force in this development in order to lower the resonant frequency. A special time-domain based analytical model was also developed using both Finite Element Analysis and Simulink simulation. The time-domain analytical model is easier to implement than other frequency domain based analytical models which generally applied in literatures for modelling of the electromagnetic vibration energy harvesters. The analytical model was verified by the measured results obtained from the initial prototype. The validated analytical model was successfully applied to optimize the harvester. Two more generator prototypes were further built and tested after the optimization study. The optimized harvester using three stacked opposing permanent magnets could achieve a normalized power density of 12,655 μWcm−3 g−2 at 9.9 Hz frequency with 0.22 g acceleration, which is significantly higher than other reported electromagnetic vibration energy harvesters.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/multicanonical-simulations-of-the-2d-spin-1-baxter-wu-model-in-a-,29 Mar 2022,"https://pureportal.coventry.ac.uk/en/persons/nikolaos-fytas,https://pureportal.coventry.ac.uk/en/persons/alexandros-vasilopoulos,https://pureportal.coventry.ac.uk/en/persons/martin-weigel","Nikolaos Fytas,Alexandros Vasilopoulos,Martin Weigel",Multicanonical simulations of the 2D spin-1 Baxter-Wu model in a crystal field,We investigate aspects of universality in the two-dimensional (2D) spin-1 Baxter- Wu model in a crystal field ∆ using a parallel version of the multicanonical algorithm employed at constant temperature T . A detailed finite-size scaling analysis in the continuous regime of the ∆ − T phase diagram of the model indicates that the transition belongs to the universality class of the 4-state Potts model. The presence of first-order-like finite-size effects that become more pronounced as one approaches the pentacritical point of the model is highlighted and discussed.,"School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/enhancing-heat-dissipation-to-improve-efficiency-of-two-stage-ele,19 Nov 2021,https://pureportal.coventry.ac.uk/en/persons/qingqing-yang,Qingqing Yang,Enhancing heat dissipation to improve efficiency of two-stage electric air compressor for fuel cell vehicle,"The electric air compressor is the most energy-consuming auxiliary component in the PEMFC (Proton Exchange Membrane Fuel Cell), and its power consumption accounts for more than 80% of the PEMFC parasitic power. Improving the efficiency of electric air compressor is of great significance to energy saving of the PEMFC. In this study, the numerical equation of the internal flow channel of the TSEAC (Two-stage Electric Air Compressor) was established. The validity of the numerical equation was verified by the experimental study. It is found that the heat generated by the electric air compressor for the PEMFC is 2–4 times higher than that of the turbocharger for a traditional diesel engine. Besides, the temperature-rising characteristics of gas in the inner flow passage of the TSEAC are analyzed. Under its normal working conditions, the temperature rise of gas passing through impeller and diffuser reaches the maximum of 33.97 K and 48.95 K, respectively. Higher temperatures cause gas to be heated and expand more, thus increasing the compression power of compressed gas consumed, and the efficiency of the TSEAC is reduced. The theoretical compression power of the TSEAC with cooling compression process is calculated. It is concluded that shell cooling can reduce the export of first and second level compression stress and the second level compression inlet temperature. Under constant inlet pressure and temperature, shell cooling can reduce the internal power consumption of the TSEAC. In order to verify the feasibility of this study, the thermal conductivity of the TSEAC shell was increased from 273W/(m·K) to 397W/(m·K) and 524W/(m·K), the outlet temperature was decreased by 7.5 K and 12 K, and the maximum efficiency was increased by 1.3% and 2.4%, respectively.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,6 Jan 2022,"https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer,https://pureportal.coventry.ac.uk/en/persons/john-halloran,https://pureportal.coventry.ac.uk/en/persons/matthew-england","Beate Grawemeyer,John Halloran,Matthew England",Feedback and Engagement on an Introductory Programming Module,"We ran a study on engagement and achievement for a first year undergraduate programming module which  used an online learning environment containing tasks which generate automated feedback.  Students could also access human feedback from traditional labs. We gathered quantitative data on engagement and achievement which allowed us to split the cohort into 6 groups.  We then ran interviews with students after the end of the module to produce qualitative data on perceptions of what feedback is, how useful it is, the uses made of it, and how it bears on engagement. A general finding was that human and automated feedback are different but complementary. However there are different feedback needs by group. Our findings imply: (1) that a blended human-automated feedback approach improves engagement; and (2) that this approach needs to be differentiated according to type of student. We give implications for the design of feedback for programming modules. ","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/evolutionary-algorithms-for-modeling-non-equilibrium-population,2 Dec 2021,https://pureportal.coventry.ac.uk/en/persons/marwan-fuad,Muhammad Marwan Muhammad Fuad,Evolutionary algorithms for modeling non-equilibrium population,"During protein synthesis the genetic code links each codon, a triplet of nucleotides, with the corresponding amino acid. Synonymous codons are those that code for the same amino acid. The difference in the frequency of occurrence of certain synonymous codons over other synonymous codons is called the codon usage bias (CUB). The Zeng and Charlesworth model is used to estimate the strength of CUB. In their model the evolutionary process is represented by a Markov model, which allows the population size to vary over time. In this paper we propose a new method that incorporates demographic changes into the model. The method is a hybrid of two optimizers, the first is evolutionary programming and the second is a version of the genetic algorithms that uses chromosomes of variable lengths, which allows for expressing more demographic changes than what the simplified model presented by Zeng and Charlesworth does. We conduct several simulations to show why this hybridization is necessary, and also to show the superior performance of this new hybrid.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/lift-lncrna-identification-and-function-prediction-tool,17 Jan 2022,"https://pureportal.coventry.ac.uk/en/persons/james-shuttleworth,https://pureportal.coventry.ac.uk/en/persons/matthew-england","James Shuttleworth,Matthew England",LIFT: lncRNA identification and function-prediction tool,"Long non-coding RNAs (lncRNAs) are a class of non-coding RNAs which play a significant role in several biological processes. Accurate identification and sub-classification of lncRNAs is crucial for exploring their characteristic functions in the genome as most coding potential computation (CPC) tools fail to accurately identify, classify and predict their biological functions in plant species. In this study, a novel computational framework called LncRNA identification and function prediction tool (LIFT) has been developed, which implements least absolute shrinkage and selection operator (LASSO) optimisation and iterative random forests classification for selection of optimal features, a novel position-based classification (PBC) method for sub-classifying lncRNAs into different classes, and a Bayesian-based function prediction approach for annotating lncRNA transcripts. Using LASSO, LIFT selected 31 optimal features and achieved a 15-30% improvement in the prediction accuracy on plant species when evaluated against state-of-the-art CPC tools. Using PBC, LIFT successfully identified the intergenic and antisense transcripts with greater accuracy in the A. thaliana and Z. mays datasets.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/predicting-the-technical-reusability-of-load-bearing-building-com,29 May 2021,https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Alireza Daneshkhah,Predicting the technical reusability of load-bearing building components: A probabilistic approach towards developing a Circular Economy framework,"The construction sector is the largest consumer of raw materials and accounts for 25%–40% of the total CO2 emissions globally. Besides, construction activities produce the highest amount of waste among all other sectors. According to the waste hierarchies, reuse is preferred to recycling; however, most of the recovery of construction and demolition wastes happens in the form of recycling and not reuse. Part of the recent efforts to promote the reuse rates includes estimating the reusability of the load-bearing building components to assist the stakeholders in making sound judgements of the reuse potentials at the end-of-life of a building and alleviate the uncertainties and perceived risks. This study aims to develop a probabilistic model using advanced supervised machine learning techniques (including random forest, K-Nearest Neighbours algorithm, Gaussian process, and support vector machine) to predict the reuse potential of structural elements at the end-of-life of a building. For this purpose, using an online questionnaire, this paper seeks the experts’ opinions with actual reuse experience in the building sector to assess the identified barriers by the authors in an earlier study. Furthermore, the results of the survey are used to develop an easy-to-understand learner for assessing the technical reusability of the structural elements at the end-of-life of a building. The results indicate that the most significant factors affecting the reuse of building structural components are design-related including, matching the design of the new building with the strength of the recovered element.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/predicting-mortality-duration-of-treatment-pulmonary-embolism-and,20 Feb 2021,https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Alireza Daneshkhah,"Predicting mortality, duration of treatment, pulmonary embolism and required ceiling of ventilatory support for COVID-19 inpatients: A Machine-Learning Approach","Introduction Within the UK, COVID-19 has contributed towards over 103,000 deaths. Multiple risk factors for COVID-19 have been identified including various demographics, co-morbidities, biochemical parameters, and physical assessment findings. However, using this vast data to improve clinical care has proven challenging.
Aims to develop a reliable, multivariable predictive model for COVID-19 in-patient outcomes, to aid risk-stratification and earlier clinical decision-making.
Methods Anonymized data regarding 44 independent predictor variables of 355 adults diagnosed with COVID-19, at a UK hospital, was manually extracted from electronic patient records for retrospective, case-controlled analysis. Primary outcomes included inpatient mortality, level of ventilatory support and oxygen therapy required, and duration of inpatient treatment. Secondary pulmonary embolism was the only secondary outcome. After balancing data, key variables were feature selected for each outcome using random forests. Predictive models were created using Bayesian Networks, and cross-validated.

Results Our multivariable models were able to predict, using feature selected risk factors, the probability of inpatient mortality (F1 score 83.7%, PPV 82%, NPV 67.9%); level of ventilatory support required (F1 score varies from 55.8% “High-flow Oxygen level” to 71.5% “ITU-Admission level”); duration of inpatient treatment (varies from 46.7% for “≥ 2 days but < 3 days” to 69.8% “≤ 1 day”); and risk of pulmonary embolism sequelae (F1 score 85.8%, PPV of 83.7%, and NPV of 80.9%).
Conclusion Overall, our findings demonstrate reliable, multivariable predictive models for 4 outcomes, that utilize readily available clinical information for COVID-19 adult inpatients. Further research is required to externally validate our models and demonstrate their utility as clinical decision-making tools.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/networked-motion-control-for-smart-ev-with-multiple-package-trans,7 Apr 2021,https://pureportal.coventry.ac.uk/en/persons/qingqing-yang,Qingqing Yang,Networked Motion Control for Smart EV with multiple-package transmissions and time-varying network-induced delays,"This paper aims to address the coupled problem of the multiple-package transmissions (MPT) and time-varying network-induced delays (TND) within the networked motion control systems of smart electric vehicles (EVs). The recent development of the advance digital sensors, actuators and controllers leverage the worldwide upgrade of transportation in terms of electrification and intellectualization. However, for smart EVs, this updating may challenge the in-vehicle network and then the vehicle control performance. In particular, the non-synchronous MPT and the TND are the key issues in the vehicle&#x0027;s integrated motion control, due to the absence of synchronization mechanism and limitation of communication bandwidth. To deal with the effects of coupled MPT and TND, a hybrid schedule-control framework (HSCF) is developed, where a new multiple-package transmissions scheduler is developed with a flexible time triggered schedule strategy with fractional-type basic period to eliminate the effect of the MPT and reorganize the TND to a bounded range of delay. Furthermore, an H-based linear quadratic regulator (LQR) control approach is designed to deal with the uncertainties caused by the time-varying network-induced delays as well as guarantee the system&#x0027;s stability. The effectiveness of the proposed scheme is verified in three cases by the real-time hardware-in-the-loop (HIL) bed tests.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/novel-lockstep-based-fault-mitigation-approach-for-socs-with-roll,5 Aug 2021,https://pureportal.coventry.ac.uk/en/persons/server-kasap,Server Kasap,Novel lockstep-based fault mitigation approach for SoCs with roll-back and roll-forward recovery,"All-Programmable System-on-Chips (APSoCs) constitute a compelling option for employing applications in radiation environments thanks to their high-performance computing and power efficiency merits. Despite these advantages, APSoCs are sensitive to radiation like any other electronic device. Processors embedded in APSoCs, therefore, have to be adequately hardened against ionizing-radiation to make them a viable choice of design for harsh environments. This paper proposes a novel lockstep-based approach to harden the dual-core ARM Cortex-A9 processor in the Xilinx Zynq-7000 APSoC against radiation-induced soft errors by coupling it with a MicroBlaze TMR subsystem in the programmable logic (PL) layer of the Zynq. The proposed technique uses the concepts of checkpointing along with roll-back and roll-forward mechanisms at the software level, i.e. software redundancy, as well as processor replication and checker circuits at the hardware level (i.e. hardware redundancy). Results of fault injection experiments show that the proposed approach achieves high levels of protection against soft errors by mitigating around 98% of bit-flips injected into the register files of both ARM cores while keeping timing performance overhead as low as 25% if block and application sizes are adjusted appropriately. Furthermore, the incorporation of the roll-forward recovery operation in addition to the roll-back operation improves the Mean Workload between Failures (MWBF) of the system by up to ≈19% depending on the nature of the running application, since the application can proceed faster, in a scenario where a fault occurs, when treated with the roll-forward operation rather than roll-back operation. Thus, relatively more data can be processed before the next error occurs in the system.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/optimisation-of-solar-photovoltaic-pv-parameters-using-meta-heuri,28 Oct 2020,"https://pureportal.coventry.ac.uk/en/persons/valentine-obiora,https://pureportal.coventry.ac.uk/en/persons/chitta-saha,https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi","Valentine Obiora,Chitta Saha,Ammar Al Bazi",Optimisation of Solar Photovoltaic (PV) Parameters Using Meta-Heuristics,"This paper presents a critical analysis of the meta-heuristic techniques used in various researches on the optimisation of photovoltaic (PV) parameters, which involves the use of different algorithms in order to extract and improve these parameters from the Single Diode Model (SDM), Double Diode Model (DDM) and Three Diode Model (TDM) respectively. The modelling parameters such as the photon current, saturation current, the series and parallel resistances are investigated to understand the optimum value. It will also equate the results of datasheet values from PV manufactures with experiment values obtained from PV module measurements. The meta-heuristics techniques to be considered include Genetic Algorithm (GA), Particle Swarm Optimisation (PSO), Harmony Search (HS), Flower Pollination Algorithm (FPA), Simulated Annealing (SA), Teaching Learning Based Optimisation (TLBO), and other different hybrid solutions to optimize the convergence speed. Root Mean Square Error (RMSE) is used as a performance indicator of each meta-heuristic technique. These optimisation techniques are utilised in extracting the parameters of a 5W polycrystalline panel at Standard testing conditions. The results presented in this paper compared the performances of the mentioned meta-heuristics on the single, double and triple diode models respectively.","School of Mechanical, Aerospace and Automotive Engineering,School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/power-to-the-teachers-an-exploratory-review-on-artificial-intelli,29 Dec 2021,"https://pureportal.coventry.ac.uk/en/persons/petros-lameras,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab","Petros Lameras,Sylvester Arnab",Power to the Teachers: An Exploratory Review on Artificial Intelligence in Education,"This exploratory review attempted to gather evidence from the literature by shedding light on the emerging phenomenon of conceptualising the impact of artificial intelligence in education. The review utilised the PRISMA framework to review the analysis and synthesis process encompassing the search, screening, coding, and data analysis strategy of 141 items included in the corpus. Key findings extracted from the review incorporate a taxonomy of artificial intelligence applications with associated teaching and learning practice and a framework for helping teachers to develop and self-reflect on the skills and capabilities envisioned for employing artificial intelligence in education. Implications for ethical use and a set of propositions for enacting teaching and learning using artificial intelligence are demarcated. The findings of this review contribute to developing a better understanding of how artificial intelligence may enhance teachers’ roles as catalysts in designing, visualising, and orchestrating AI-enabled teaching and learning, and this will, in turn, help to proliferate AI-systems that render computational representations based on meaningful data-driven inferences of the pedagogy, domain, and learner models.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/extraction-of-frequency-information-for-the-reliable-screening-of,13 Sep 2021,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis,Ioannis Arvanitakis,Extraction of Frequency Information for the Reliable Screening of Rotor Electrical Faults via Torque Monitoring in Induction Motors,"Conventional diagnostic methods applied to industrial induction motors, such as the motor current signature analysis, may lead to false-negative diagnostic outcomes in several cases. Such a case consists of the nonadjacent rotor breakages occurrence. Various alternatives with advanced digital signal processing algorithms have been proposed that concern the monitoring and analysis of the stator current, or the stray magnetic flux, of the motor during the transient start-up. Those methods work efficiently in most cases; however, the real issue is that most large industrial motors have very few start-ups during their long operating life time. In that sense, it is not feasible to implement the transient analysis-based methods. This article addresses an alternative methodology that solves this issue for induction motors at steady state. The method relies on a two-stage signal processing technique for frequency information tracking and extraction, where the higher harmonic index of the motor's torque around the sixth harmonic is evaluated during each stage. By the results of the method, it is evident that the fault and its severity level can be reliably detected at the steady state. The method's efficacy is proven valid even for challenging cases of large industrial motors, where the likelihood of a false diagnostic decision is increased during the signature screening.","School of Computing, Electronics and Maths"
